"Question","Option1","Option2","Option3","Option4","Answer","Topic","Subtopic"
"What is the result of \( \displaystyle \sum_{m=1}^{3} (4x_m^2 - 3x_m) \) using values \( x_1 = 1 \), \( x_2 = 3 \), and \( x_3 = 2 \)?"," 20"," 30"," 26"," 24"," 26"," Preliminaries"," Summation Symbol"
"Which of the following statements correctly defines a variable in statistics?"," A fixed value that does not change"," A characteristic or attribute that can take on different values"," A measurement that is always numerical"," A value that represents the average of a data set"," A characteristic or attribute that can take on different values"," Statistics"," Variable and Constant"
"In an experiment measuring the effect of temperature on plant growth, which of the following would be considered a constant?"," The type of plant used"," The temperature at which the experiment is conducted"," The amount of sunlight the plants receive"," The height of the plants measured at the end of the experiment"," The type of plant used"," Statistics"," Variable and Constant"
"What type of measurement scale is used when categorizing people by their blood type (A, B, AB, O)?", "Nominal", "Ordinal", "Interval", "Ratio", "Nominal", "Preliminaries", "Measurement Scale"
"Which measurement scale is appropriate for ranking students as 1st, 2nd, and 3rd in a competition?", "Nominal", "Ordinal", "Interval", "Ratio", "Ordinal", "Preliminaries", "Measurement Scale"
"What scale of measurement is used when measuring temperature in Celsius?", "Nominal", "Ordinal", "Interval", "Ratio", "Interval", "Preliminaries", "Measurement Scale"
"In which type of scale does zero represent the absence of the measured quantity, such as in measuring weight?", "Nominal", "Ordinal", "Interval", "Ratio", "Ratio", "Preliminaries", "Measurement Scale"
"Which scale of measurement allows both categorizing and meaningful differences between values but lacks an absolute zero, like calendar years?", "Nominal", "Ordinal", "Interval", "Ratio", "Interval", "Preliminaries", "Measurement Scale"
"When classifying animals into groups like mammals, reptiles, and birds, which measurement scale is used?", "Nominal", "Ordinal", "Interval", "Ratio", "Nominal", "Preliminaries", "Measurement Scale"
"Which scale is appropriate when grading a survey from 'Strongly Agree' to 'Strongly Disagree'?", "Nominal", "Ordinal", "Interval", "Ratio", "Ordinal", "Preliminaries", "Measurement Scale"
"What measurement scale would apply to an individual's height in centimeters?", "Nominal", "Ordinal", "Interval", "Ratio", "Ratio", "Preliminaries", "Measurement Scale"
"Which scale is used when measuring time in minutes on a stopwatch?", "Nominal", "Ordinal", "Interval", "Ratio", "Ratio", "Preliminaries", "Measurement Scale"
"When using numbers on a satisfaction scale from 1 to 5, without assuming equal intervals, what type of scale is this?", "Nominal", "Ordinal", "Interval", "Ratio", "Ordinal", "Preliminaries", "Measurement Scale"
"Which scale of measurement applies to assigning jersey numbers to players on a sports team?", "Nominal", "Ordinal", "Interval", "Ratio", "Nominal", "Preliminaries", "Measurement Scale"
"In classifying earthquake intensity using a scale from 1 to 10, what type of measurement scale is used?", "Nominal", "Ordinal", "Interval", "Ratio", "Ordinal", "Preliminaries", "Measurement Scale"
"What scale of measurement is used for calculating the pH level of a solution?", "Nominal", "Ordinal", "Interval", "Ratio", "Interval", "Preliminaries", "Measurement Scale"
"If a variable \( x \) is transformed by the formula \( y = 2x + 3 \), what type of transformation is this?", "Change of origin", "Change of scale", "Change of origin and scale", "No transformation", "Change of origin and scale", "Preliminaries", "Change of Origin and Scale"
"A variable \( x \) is converted to \( y = 5x \). This transformation involves:", "Only a change of origin", "Only a change of scale", "Change of origin and scale", "Neither change of origin nor scale", "Only a change of scale", "Preliminaries", "Change of Origin and Scale"
"Given \( x \) values 5, 10, 15, if transformed by \( y = x - 2 \), what will the new values be?", "3, 8, 13", "7, 12, 17", "10, 15, 20", "0, 5, 10", "3, 8, 13", "Preliminaries", "Change of Origin and Scale"
"Which transformation would apply a change of origin but not a change of scale?", "y = x + 4", "y = 3x", "y = 2x + 5", "y = 4x - 3", "y = x + 4", "Preliminaries", "Change of Origin and Scale"
"If \( x \) values are 6, 12, 18, and transformed by \( y = \frac{x}{2} + 1 \), what are the \( y \) values?", "3, 6, 9", "4, 7, 10", "5, 10, 15", "2, 4, 6", "4, 7, 10", "Preliminaries", "Change of Origin and Scale"
"According to the summation theorem, what is \( \sum (x_i + y_i) \) equal to?", "\( \sum x_i + \sum y_i \)", "\( \sum x_i - \sum y_i \)", "\( 2 \sum x_i \)", "\( \sum (x_i y_i) \)", "\( \sum x_i + \sum y_i \)", "Preliminaries", "Summation Theorem"
"If \( x_i = 3 \) for \( i = 1, 2, 3, 4 \), what is \( \sum (4x_i) \) using the summation theorem?", "12", "16", "48", "24", "48", "Preliminaries", "Summation Theorem"
"Using the theorem \( \sum (x_i - a) = \sum x_i - n \cdot a \), if \( a = 2 \) and \( \sum x_i = 20 \) for \( n = 5 \), what is \( \sum (x_i - 2) \)?", "10", "0", "20", "5", "10", "Preliminaries", "Summation Theorem"
"If \( x_i = 2, 4, 6, 8 \) and \( f_i = 1, 2, 1, 3 \), what is \( \sum f_i x_i \)?", "42", "36", "32", "28", "42", "Preliminaries", "Summation Theorem"
"Using summation theorems, how is \( \sum (x_i^2) \) calculated when \( x_i = 1, 2, 3 \)?", "6", "14", "10", "9", "14", "Preliminaries", "Summation Theorem"
"If \( \sum f_i = 10 \) and \( \sum f_i x_i = 50 \), what is the mean \( \bar{x} \) using these values?", "5", "10", "50", "0.5", "5", "Preliminaries", "Summation Theorem"
"If \( x_i = 3, 5, 7 \) and \( f_i = 2, 1, 3 \), what is \( \sum f_i x_i^2 \)?", "83", "95", "75", "85", "83", "Preliminaries", "Summation Theorem"
"Given \( x_i = 1, 2, 3, 4 \) and \( f_i = 1, 2, 1, 3 \), what is \( \sum f_i^2 \)?", "15", "12", "10", "9", "15", "Preliminaries", "Summation Theorem"
"If \( x_i = 2, 4, 6 \), calculate \( \sum (x_i - 2)^2 \) using summation rules.", "28", "20", "16", "24", "20", "Preliminaries", "Summation Theorem"
"When \( x_i = 1, 2, 3 \), what is \( \sum (x_i^3) \)?", "36", "30", "42", "27", "36", "Preliminaries", "Summation Theorem"
"If \( x_i = 3, 5, 7 \) and \( f_i = 2, 1, 2 \), what is \( \sum f_i (x_i - 2)^2 \)?", "32", "40", "28", "30", "32", "Preliminaries", "Summation Theorem"
"If \( x_i = 2, 4, 6, 8 \) and \( f_i = 3, 1, 2, 1 \), what is \( \sum f_i x_i^2 \)?", "160", "170", "150", "140", "160", "Preliminaries", "Summation Theorem"
"For values \( x_i = 1, 3, 5 \) and \( f_i = 1, 4, 2 \), what is \( \sum f_i x_i \)?", "21", "19", "20", "22", "21", "Preliminaries", "Summation Theorem"
"If \( x_i = 1, 2, 3, 4 \) and \( f_i = 2, 3, 1, 4 \), what is \( \sum f_i^2 x_i \)?", "33", "31", "29", "35", "33", "Preliminaries", "Summation Theorem"
"For \( x_i = 2, 3, 4 \) and \( f_i = 2, 2, 3 \), calculate \( \sum (x_i - 1)^2 f_i \).", "16", "18", "20", "22", "20", "Preliminaries", "Summation Theorem"
"If \( x_i = 2, 5, 7 \) and \( f_i = 1, 3, 2 \), what is \( \sum f_i (x_i - 3)^3 \)?", "40", "50", "60", "55", "50", "Preliminaries", "Summation Theorem"
"Given \( x_i = 3, 4, 5 \) and \( f_i = 2, 3, 1 \), calculate \( \sum (f_i x_i)^2 \).", "110", "120", "130", "140", "130", "Preliminaries", "Summation Theorem"
"If \( x_i = 1, 3, 6 \) and \( f_i = 3, 2, 4 \), find \( \sum f_i (x_i + 2)^2 \).", "200", "210", "220", "190", "210", "Preliminaries", "Summation Theorem"
"For values \( x_i = 2, 3, 4 \) and \( f_i = 1, 2, 3 \), calculate \( \sum f_i x_i^3 \).", "108", "110", "112", "114", "108", "Preliminaries", "Summation Theorem"
"If \( x_i = 2, 4, 6 \) and \( f_i = 2, 1, 3 \), what is \( \sum f_i (x_i - 2)^3 \)?", "50", "48", "52", "54", "48", "Preliminaries", "Summation Theorem"
"Given \( x_i = 3, 5, 7, 9 \) and \( f_i = 1, 1, 2, 2 \), calculate \( \sum f_i (x_i + 1)^2 \).", "220", "224", "218", "216", "220", "Preliminaries", "Summation Theorem"
